"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","mean_vessel_size_µm2_Tige","std_dev_vessel_size_µm2_Tige","mean_vessel_perim_µm_Tige","std_dev_perim_µm_Tige","sum_vessel_area_µm2_Tige","count_vessel_Tige","count_cluster_Tige","vessel_grouping_Tige","dh_Tige","vessel_density_per_mm2_Tige","vessel_area_Tige","Kth_Tige","Ring_Size_Year_2024_Tige","Ring_Size_Year_2023_Tige","Ring_Size_Year_2022_Tige","Ring_Size_Year_2021_Tige","mean_vessel_size_µm2_Racine","std_dev_vessel_size_µm2_Racine","mean_vessel_perim_µm_Racine","std_dev_perim_µm_Racine","sum_vessel_area_µm2_Racine","count_vessel_Racine","count_cluster_Racine","vessel_grouping_Racine","dh_Racine","image_surface_rectified_mm2_Racine","vessel_density_per_mm2_Racine","vessel_area_Racine","Kth_Racine","Ring_Size_Year_2024_Racine","Ring_Size_Year_2023_Racine","Ring_Size_Year_2022_Racine","Ring_Size_Year_2021_Racine"
"21",20,"T2","T",2,"Ho2","Ho",2,0,7.16,3.04,5.7,2.28,10,115,147,177,17,NA,19,17,6,2,2,1,8,174.859804600127,106.440704275256,67.4649258221381,32.8135951466336,300059.424693818,1716,496,3.45967741935484,16.1438049726184,1365.42790335048,0.238758456375425,2.26768188200918,281.775,532.844,252.048,241.62,132.895327441265,54.0356247517479,46.4353134002393,10.2740534401976,137147.977919385,1032,556,1.85611510791367,13.5147133687226,0.899299650425245,1147.55965879894,0.152505316614471,0.936035622189276,158.375,395.654,313.979,284.668
"22",21,"T2","T",2,"Ho3","Ho",3,0,4.49,1.6,3.79,1.69,8,117,125,224,14.2,NA,NA,10,0,10,2,NA,7,133.354345750096,58.2523533694021,53.351943548399,13.4640876965037,26404.160458519,198,139,1.42446043165468,13.6091756927294,722.824981738365,0.0963918525315447,0.606247811923235,263.745,125.593,131.868,95.238,175.684691699187,109.034547545114,58.6718125936817,24.454851503106,81693.381640122,465,79,5.88607594936709,16.2230832013665,0.293181299150681,1586.0493194725,0.278644585711231,2.6862103430289,202.403,121.767,159.299,99.43
"23",22,"t2","T",2,"Ho1","Ho",1,1,4.59,2.88,NA,NA,NA,135,132,248,7,36,32,4,0,2,NA,0,NA,153.071560994971,105.331305458473,60.7973689580903,27.2281299137623,213687.899148979,1396,228,6.12280701754386,15.3803185544259,1688.96606249083,0.258532671653,2.31085125928576,542.267,404.026,99.446,178.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",23,"t2","T",2,"Ho2","Ho",2,1,5.83,2.69,NA,NA,NA,163,175,163,11,NA,17,5,0,5,3,0,5,127.631451587664,50.393874385986,49.1691395698705,16.4894092750323,46330.216926322,363,104,3.49038461538462,13.2167120549868,1713.89169873299,0.218746485373339,1.27869461378423,160.989,237.328,164.325,118.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",24,"t2","T",2,"Ho3","Ho",3,1,4.84,2.79,NA,NA,NA,127,90,127,17,104,NA,9,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",25,"T2","T",2,"Fe1","Fe",1,0,6.79,4.81,6.95,3.04,10,385,450,385,36,139,92,9,0,2,4,0,5,169.793973060543,117.319675880782,52.5563436436623,18.4970494470238,25638.889932142,151,60,2.51666666666667,16.2016524510337,1112.75218053897,0.188938613765494,1.87467266889228,57.156,78.787,104.815,78.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",26,"T2","T",2,"Fe2","Fe",2,0,4.25,3.33,4.2,2.57,9,203,146,203,185,169,22,4,0,2,2,1,3,156.303972826087,85.0324030213743,NA,NA,28759.931,184,139,1.32374100719424,15.0471029226191,970.549193895,0.151700694828945,1.21651891670088,123.062,182.122,211.996,185.246,266.597611565781,176.371808692131,70.2699232254375,27.649896300402,34124.49428042,128,74,1.72972972972973,20.1622679643686,0.177369994426066,721.655319515471,0.192391584556565,2.91592999862298,85.353,148.1,165.201,113.513
"28",27,"T2","T",2,"Fe3","Fe",3,0,5.92,4.28,5.95,2.26,15,295,281,323,NA,149,51,2,0,2,4,1,4,171.400223529648,85.2602005474226,78.2683789852682,22.1435332698756,30680.640011807,179,138,1.29710144927536,15.6079292155186,533.3647767946,0.0914188419654353,0.773918495697082,116.964,90.877,155.066,174.781,197.854602548192,112.801892371305,60.1618288780673,21.3068950251175,20576.878665012,104,76,1.36842105263158,17.018810834905,0.211788002124829,491.057089903997,0.0971579053514272,1.0072530178045,86.293,114.222,87.489,141.858
"29",28,"T2","T",2,"Fe1","Fe",1,0,4.43,2.75,5.22,NA,45,205,284,253,295,350,75,6,1,2,3,0,5,194.270620611394,101.673123848039,60.9454391711408,16.7306347942808,13793.214063409,71,48,1.47916666666667,16.6960404029739,700.332533677948,0.136054035951965,1.33060146386182,81.116,68.552,63.843,72.744,179.510916666667,87.23294534601,NA,NA,15078.917,84,35,2.4,15.9320137848586,0.111532951611632,753.140652930048,0.135196968986405,1.18644751645046,111.833,97.688,65.494,105.979
"30",29,"T2","T",2,"Fe2","Fe",2,0,3.92,3.26,NA,NA,32,NA,181,295,237,193,18,2,0,2,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
