"","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","Ring_Size_Year_2024","Ring_Size_Year_2023","Ring_Size_Year_2022","Ring_Size_Year_2021"
"107","1935_T3-Fe2-44_Racine_X200_09µm_square.jpg","1935_T3_Fe2_44_R_X200_09µm",199694.26360962,"1935","44","T3","T","3","Fe2","Fe","2",0,"R",101.519,185.767,152.8,139.968
"108","1936_F1-Ft1-58_Tige_X200_09µm_square.jpg","1936_F1_Ft1_58_T_X200_09µm",213892.427622404,"1936","58","F1","F","1","Ft1","Ft","1",0,"T",255.39,256.419,231.293,NA
"109","1937_F1-Ft1-58_Racine_X200_09µm_square.jpg","1937_F1_Ft1_58_R_X200_09µm",288823.774847543,"1937","58","F1","F","1","Ft1","Ft","1",0,"R",311.672,181.227,147.883,201.658
"110","1938_T3-Fe1-43_Tige_X200_09µm_square.jpg","1938_T3_Fe1_43_T_X200_09µm",607449.566050678,"1938","43","T3","T","3","Fe1","Fe","1",0,"T",232.678,253.234,111.471,241.886
"111","1939_T3-Fe1-43_Racine_X200_09µm_square.jpg","1939_T3_Fe1_43_R_X200_09µm",477693.088356703,"1939","43","T3","T","3","Fe1","Fe","1",0,"R",222.726,260.828,182.347,247.321
"112","1940_P3-Fe3-87_Tige_X200_09µm_square.jpg","1940_P3_Fe3_87_T_X200_09µm",401048.301792008,"1940","87","P3","P","3","Fe3","Fe","3",0,"T",218.839,205.801,210.901,125.687
"113","1941_P3-Fe3-87_Racine_X200_09µm_square.jpg","1941_P3_Fe3_87_R_X200_09µm",457010.249157271,"1941","87","P3","P","3","Fe3","Fe","3",0,"R",277.905,154.046,274.797,139.753
"114","1942_P2-Ft3-84_Tige_X200_09µm_square.jpg","1942_P2_Ft3_84_T_X200_09µm",202202.270057419,"1942","84","P2","P","2","Ft3","Ft","3",0,"T",96.922,110.493,146.524,101.043
"115","1943_P2-Ft3-84_Racine_X200_09µm_square.jpg","1943_P2_Ft3_84_R_X200_09µm",210792.465940964,"1943","84","P2","P","2","Ft3","Ft","3",0,"R",50.304,110.937,122.552,204.402
"116","1944_P3-Fe1-85_Tige_X200_09µm_square.jpg","1944_P3_Fe1_85_T_X200_09µm",555491.941207148,"1944","85","P3","P","3","Fe1","Fe","1",0,"T",225.035,332.423,128.937,199.072
