"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","aire_conic","tig_ratio","rac_ratio","surface","inflo","ring_length_µm_R_2021","ring_length_µm_R_2022","ring_length_µm_R_2023","ring_length_µm_R_2024","ring_length_µm_T_2021","ring_length_µm_T_2022","ring_length_µm_T_2023","ring_length_µm_T_2024","mean_vessel_size_µm2_R_2021","mean_vessel_size_µm2_R_2022","mean_vessel_size_µm2_R_2023","mean_vessel_size_µm2_R_2024","mean_vessel_size_µm2_T_2021","mean_vessel_size_µm2_T_2022","mean_vessel_size_µm2_T_2023","mean_vessel_size_µm2_T_2024","sum_vessel_area_µm2_R_2021","sum_vessel_area_µm2_R_2022","sum_vessel_area_µm2_R_2023","sum_vessel_area_µm2_R_2024","sum_vessel_area_µm2_T_2021","sum_vessel_area_µm2_T_2022","sum_vessel_area_µm2_T_2023","sum_vessel_area_µm2_T_2024","vessel_density_per_mm2_R_2021","vessel_density_per_mm2_R_2022","vessel_density_per_mm2_R_2023","vessel_density_per_mm2_R_2024","vessel_density_per_mm2_T_2021","vessel_density_per_mm2_T_2022","vessel_density_per_mm2_T_2023","vessel_density_per_mm2_T_2024","vessel_area_R_2021","vessel_area_R_2022","vessel_area_R_2023","vessel_area_R_2024","vessel_area_T_2021","vessel_area_T_2022","vessel_area_T_2023","vessel_area_T_2024","Kth_R_2021","Kth_R_2022","Kth_R_2023","Kth_R_2024","Kth_T_2021","Kth_T_2022","Kth_T_2023","Kth_T_2024"
"64","64","F2","F",2,"Ft1","Ft",1,0,4.53,3.5,2.99,1.71,29,136,139,136,222,206,37,4,0,4,3,0,3,86.71,0.772626931567329,0.57190635451505,28634,1,168.698131965884,113.903511066925,102.047511904139,330.239129297263,168.158,97.382,273.804,232.53,182.413884615385,204.022363636364,193.143709677419,164.719549295775,150.033483870968,123.0183,124.933833333333,146.440807692308,9485.522,6732.738,5987.455,11695.088,4651.038,2460.366,6746.427,7614.922,607.556610498213,626.362918889885,596.552031477632,477.135363745803,553.671527730195,685.479475605238,544.301474829779,676.75733834829,0.110826761444735,0.127792043206086,0.115220272375191,0.0785935220692841,0.0830692682255223,0.0843265197738479,0.0680016697394712,0.0991048912394199,0.965137563869553,1.28066603307039,1.08974490204455,0.672370735454102,0.556907412492777,0.475458252415672,0.387723944949242,0.748354253773615
"65","65","F2","F",2,"Ft2","Ft",2,0,3.5,2.05,1.88,1.03,16,54,50,54,168,174,69,2,0,2,3,1,5,30.08,0.585714285714286,0.547872340425532,8700,1,85.336,87.951,85.353,73.327,89.909,39.219,80.423,97.758,207.084083333333,254.770714285714,238.740333333333,235.96975,102.997176470588,96.411875,123.249142857143,142.765,2485.009,3566.79,5013.547,2831.637,1750.952,771.295,1725.488,2712.535,476.247619428298,714.147463254546,817.226787555778,455.598225682878,591.872071757851,654.710668432548,441.122261829001,622.901886372398,0.0986233017089912,0.181943859318692,0.195104995669996,0.107507399414832,0.060961152222856,0.0631218831260852,0.0543679406656285,0.0889285878079554,0.884204921718195,2.14815203725593,2.4209041289773,1.22933714951341,0.281863138868668,0.26646781436941,0.283534955684719,0.585794845278102
"66","66","F2","F",2,"Ft3","Ft",3,0,5.25,2.92,4.16,2.38,27,129,77,149,195,200,23,2,0,2,4,1,4,112.32,0.556190476190476,0.572115384615385,15400,1,99.2993563916069,97.9933022866412,76.6338757783476,91.3411124483282,114.145,113.735,123.16,67.013,172.872047619048,255.199666666667,223.169708333333,248.676636363636,120.89975,141.49984,141.638730769231,175.312411764706,3630.313,7655.99,5356.073,8206.329,1934.396,3537.496,3682.607,2980.311,713.798525572064,674.532868507899,735.832209062197,704.566744109631,862.091187840589,788.282773780866,868.768606711836,793.116881044222,0.1233958127031,0.172140563198926,0.164215459478683,0.175209288018862,0.10422660908713,0.111541886364749,0.123051282786817,0.139043233227164,1.01154226575541,2.16280289567738,1.71801699477118,2.19494566691347,0.577362188358445,0.700229154594676,0.818037371513542,1.11013387078
"67","67","F3","F",3,"Fe1","Fe",1,0,2.6,2.16,1.51,0.98,20,150,104,280,145,248,50,2,0,0,2,1,4,30.2,0.830769230769231,0.649006622516556,25792,0,171.608,110.057,174.414,120.226,158.193710428549,122.442572340537,177.911150646225,85.8207315158809,144.695147058824,237.083544554455,340.683055555556,301.43995,138.268952380952,163.869214285714,229.532339285714,164.844151515152,4919.635,23945.438,6132.295,6028.799,5807.296,4588.338,12853.811,5439.857,525.845045936424,820.072665057081,633.939788379578,888.141240289567,476.840521857742,407.402280149022,506.279901883457,669.551735649018,0.0760872262519247,0.194425734223951,0.215972544143397,0.267721251065825,0.0659322394100565,0.0667606915462287,0.116207610212652,0.110371687758559,0.533662916242157,2.54091651502182,3.57768254293776,3.90187458043498,0.408381437278717,0.546701746789336,1.37454971058616,0.830225733751856
"68","68","F3","F",3,"Fe2","Fe",2,0,4.62,2.52,3.56,1.38,18,248,205,275,325,278,76,6,0,2,4,0,5,64.08,0.545454545454545,0.387640449438202,56990,0.333333333333333,277.865,155.701,150.715,272.894,279.452,163.295,152.672,283.315,185.267781954887,209.16108045977,176.285821917808,208.434326530612,148.821071428571,185.561558441558,219.252793650794,208.422073529412,24640.615,18197.014,12868.865,30639.846,18751.455,14288.24,13812.926,28345.402,747.028955295139,846.614161223968,759.922738712045,759.9013940344,508.412634901709,544.701774606468,513.918310164435,503.328483160253,0.138400397603607,0.177078732694147,0.133963604587885,0.158389535295233,0.0756625130538955,0.101075710181859,0.112678025211847,0.104904766126674,1.33200771495474,2.02312887973378,1.30531051046465,1.88355540187845,0.567569672594675,0.939039744044001,1.3762362362475,1.25676547041561
"69","69","F3","F",3,"Fe3","Fe",3,0,5.18,2.48,3.35,2.06,33,233,280,233,342,322,26,3,0,2,2,0,4,110.55,0.478764478764479,0.614925373134328,90160,0.666666666666667,108.864,183.748,272.186,255.39,206.185,277.016,151.23,110.493,146.828260869565,184.253853658537,218.880581818182,282.639066666667,165.265627272727,168.111395061728,179.9537,191.566414634146,3377.05,7554.408,12038.432,16958.344,18179.219,27234.046,19794.907,15708.446,504.931770238893,614.404180864732,561.253836839588,601.159295179336,907.642324303529,1080.82165970607,1233.93927977385,1308.06869159435,0.0741382536819676,0.113206338028243,0.122847566355136,0.169911102107479,0.150002078065299,0.181698437026121,0.222051938970639,0.250582029343908,0.587668146224207,0.97966384800935,1.29006952285739,2.35984515046546,1.34016971303549,1.97654680132996,2.27645474756092,3.91638068581788
"70","70","F3","F",3,"Ft1","Ft",1,0,3.45,2.74,2.19,0.85,27,77,84,101,172,117,47,2,0,2,2,1,3,59.13,0.794202898550725,0.388127853881279,9828,1,92.136,63.849,75.355,94.715,294.385955732301,104.032232745539,190.069070169013,61.0219245460729,182.50125,167.514125,171.1933,176.361333333333,97.1533611111111,127.997810810811,126.769360465116,127.953744186047,3650.025,2680.226,3423.866,4232.672,3497.521,4735.919,10902.165,5502.011,827.933222552131,1004.9329915287,936.391945107977,956.820463600508,366.707338364304,525.392751489095,787.177711419825,758.881635821999,0.151098848032292,0.168340470759563,0.160304027176453,0.168746132721204,0.0356268504662016,0.0672491220064726,0.099790015049085,0.0971017466974566,1.23754400029677,1.33723643833386,1.24193692038818,1.36892012783074,0.158167067034709,0.39428353812743,0.619982860136608,0.571160083766546
"71","71","F3","F",3,"Ft2","Ft",2,0,4.66,2.81,3.45,3.17,19,188,176,194,118,124,75,3,0,2,1,0,5,65.55,0.603004291845494,0.918840579710145,21824,0.666666666666667,181.092,95.743,159.248,194.98,231.484,140.49,190.58,109.97,150.550892857143,120.544933333333,136.565222222222,145.863642857143,101.009333333333,101.091652173913,124.720383333333,128.007904761905,4215.425,1808.174,4916.348,6126.273,6060.56,4650.216,7483.223,2688.166,601.587675610996,491.345639639275,601.898471214887,513.919455326292,798.867686319073,907.110559982116,968.763561180959,645.163829935943,0.0905695616950887,0.0592292273739405,0.0821983984766769,0.0749621638890517,0.080693092416632,0.0917013052129955,0.120824562709854,0.082586070098266,0.625703231683351,0.314459878883525,0.529095486100391,0.551598108676851,0.380725346595837,0.409633514117599,0.685425978975766,0.508708012341401
"72","72","F3","F",3,"Ft3","Ft",3,0,4.6,3.08,6.91,3.92,18,NA,151,151,NA,175,55,4,0,3,3,0,5,124.38,0.669565217391304,0.567293777134588,26425,0.75,80.629,85.821,90.651,115.124,333.132,255.882,225.074,208.397,263.0304,289.0232,236.73824,224.798483870968,134.097529411765,93.3552692307692,128.31358,152.646075471698,3945.456,4335.348,5918.456,6968.753,6838.974,4854.474,6415.679,8090.242,665.685031191687,716.231508888286,865.975408898742,876.184228829184,548.277651918801,552.664287230268,718.386002302174,707.696844309707,0.175095400028362,0.207007522639721,0.205009494185968,0.196964886232454,0.0735226785539947,0.0515941233286128,0.0921786797772803,0.108027145907582,2.00407271966611,2.74910857743883,2.32971777188588,2.03161669635213,0.436235917178067,0.21440506085366,0.540250211895986,0.880143830975742
"73","73","P1","P",1,"Fe1","Fe",1,0,3.47,2.79,3.1,2.45,10,127,173,127,265,293,15,2,0,1,2,1,5,31,0.804034582132565,0.790322580645161,50689,0.5,145.998,69.123,94.197,107.457,70.692,30.985,95.784,120.952,184.668816666667,201.790461538462,191.568666666667,251.6142,194.338304347826,210.601727272727,184.69436,203.562147058824,11080.129,5246.552,5747.06,8806.497,4469.781,2316.619,4617.359,6921.113,902.30825744163,831.362443838735,754.421057622321,657.866059879726,755.884669670657,824.278490204999,789.577917522665,751.903155822651,0.166628198170308,0.167761011247962,0.144523436113965,0.165528442363789,0.146897344986312,0.173594473790929,0.145830588146981,0.153059020779564,1.83812318923948,1.97079465699852,1.49565338524617,2.42581624086336,1.60641019717602,1.91670059763555,1.42870264473902,1.6168056627966
"74","74","P1","P",1,"Fe2","Fe",2,0,2.39,1.78,2.6,0.89,27,NA,102,131,254,252,83,3,0,3,3,0,5,70.2,0.744769874476987,0.342307692307692,25704,1,157.008,135.054,140.249,56.08,160.772,45.079,37.709,73.277,138.394288135593,143.155230769231,155.974666666667,182.447411764706,137.986225806452,165.842176470588,146.2604375,229.8379375,8165.263,1861.018,7018.86,3101.606,8555.146,2819.317,2340.167,3677.407,934.502030043559,264.708344260507,949.614862848434,698.337150433021,981.631687168853,1033.21774963093,1065.35497977804,499.836220735681,0.129329743209145,0.0378943841091539,0.148115861694497,0.127409805635645,0.135451651644449,0.171351080366837,0.155819285435139,0.114881326061684,0.930499307253605,0.230021980870119,1.13088322515142,1.19290839550438,0.94079726354158,1.3295122590426,1.09405255166322,1.26872456302053
"75","75","P1","P",1,"Fe3","Fe",3,0,4.03,2.18,4.28,2.65,18,113,112,113,284,260,77,2,0,2,4,1,5,77.04,0.540942928039702,0.619158878504673,29120,1,129.057087541207,196.134686829575,185.422531526346,214.576945214798,67.38,155.74,38.896,43.956,182.211457627119,214.175941176471,234.673549450549,269.115059322034,224.850388888889,302.274933333333,245.88595,156.786473684211,10750.476,18204.955,21355.293,31755.577,4047.307,4534.124,4917.719,2978.943,739.264156095551,706.959642497484,785.59749719085,828.103918000655,611.884259553587,493.18571765813,462.530571149288,865.5718190812,0.134702399453652,0.15141374680568,0.184358953105245,0.222855235017555,0.137582413715614,0.149077679926064,0.113729768891085,0.135709953234169,1.59646712797775,1.89762842933469,2.87521168477582,3.78276468579117,1.55503098847286,2.21156145510256,1.27486695722372,1.07505364174275
"76","76","P1","P",1,"Ft1","Ft",1,0,5.59,4.32,4.25,3.84,65,179,143,183,198,206,32,3,0,3,2,1,5,276.25,0.772808586762075,0.903529411764706,29458,1,160.88483072576,110.734655434043,133.758045104913,124.259327089111,154.907,62.803,100.493,185.763,99.4537647058823,134.273954545455,154.48245,114.632891304348,126.557818181818,133.034588235294,129.7173,130.898693877551,1690.714,5908.054,9268.947,5273.113,5568.544,2261.588,3891.519,6414.036,264.850443205439,888.731621017242,830.097206241873,838.612483929883,1024.95291467537,970.234003553853,1178.18763340801,919.380115243314,0.0263403736608023,0.119333509283577,0.1282354501584,0.0961325737168034,0.129715804620411,0.129074681154668,0.152831318699077,0.120345656262342,0.118727852587948,0.757464999885453,1.08876280509839,0.482441239783453,0.734031772741844,0.763658356737225,0.892318181678003,0.749010051489188
"77","77","P1","P",1,"Ft2","Ft",2,0,9.33,4.84,10.85,6.22,49,163,277,163,165,172,32,4,0,4,4,0,5,531.65,0.518756698821008,0.573271889400922,47644,1,185.503,104.992,85.296,111.705,186.617,109.346,115.912,104.218,257.565088235294,203.169555555556,209.055266666667,306.676111111111,189.38214893617,173.273757575758,192.850825,255.70712,8757.213,5485.578,6271.658,8280.255,8900.961,5718.034,7714.033,6392.678,473.321679984325,588.325549921478,675.772621345473,503.167041258583,589.874677512344,765.244480159525,769.258175235982,524.741119587284,0.12191114026884,0.119529840499524,0.14127382556141,0.154309311452466,0.111711734030318,0.132596786541348,0.148352073732254,0.13418004043524,1.57990280685536,1.2780427082998,1.52277522495472,2.46491749178371,1.0210307320647,1.14134965571977,1.47906719654846,1.7344507007963
"78","78","P1","P",1,"Ft3","Ft",3,0,3.92,2.44,2.54,0.95,49,115,128,181,123,122,32,2,0,2,1,1,5,124.46,0.622448979591837,0.374015748031496,15616,1,185.303,144.734,186.82,309.298,139.011,57.163,158.669,270.568,165.79825,158.156757575758,179.217222222222,217.403707317073,107.95935,116.159666666667,115.422534883721,134.827568965517,7295.123,5219.173,8064.775,17827.104,2159.187,1393.916,4963.169,7819.999,737.794998726592,655.955976472011,625.451504865289,690.461053775522,634.003371021258,676.885165992526,715.928954440782,589.566455079753,0.122325119647621,0.103743870351253,0.112091681336666,0.150108792848852,0.0684465918332639,0.0786267552533031,0.082634334718207,0.079489811882021,0.935223596631992,0.726702933311985,0.982607205168584,1.7315653744917,0.325272295074394,0.392149819228562,0.415172880438742,0.521533375285102
"79","79","P2","P",2,"Fe1","Fe",1,0,2.88,2.56,3.11,2.54,22,184,212,184,245,262,149,3,0,3,3,1,6,68.42,0.888888888888889,0.816720257234727,55544,1,94.728,70.651,106.413,53.017,112.165,64.887,125.698,67.536,145.761,145.661538461538,144.914727272727,168.900375,107.349142857143,132.62868,113.973235294118,158.165,1603.371,1893.6,1594.062,1351.203,6011.552,3315.717,7750.18,4270.455,320.096686633376,549.727251438284,314.969739668873,331.756124935462,1219.59047638587,1133.41086638017,1388.14957575872,819.262635250142,0.0466576131403675,0.0800741171787334,0.0456437539232767,0.0560337339101464,0.130921992276758,0.150322787105658,0.158211898221379,0.129578674704339,0.311074166576849,0.544536822146548,0.28420700510856,0.410049472519339,0.684549947763641,0.943420670767207,0.907629367144962,1.02917639245487
"80","80","P2","P",2,"Fe2","Fe",2,0,5.42,2.94,3.54,2.63,36,215,244,235,183,182,97,4,0,4,4,1,6,127.44,0.542435424354244,0.742937853107345,44408,1,119.328,107.802,83.889,149.44,83.732,157.209,156.989,158.451,314.078833333333,275.603413043478,277.783193548387,305.751321428571,232.77785,224.161862068966,189.452646153846,259.279186440678,11306.838,12677.757,8611.279,17122.074,9311.114,13001.388,12314.422,15297.472,678.540947715552,634.204882709778,612.709688895294,612.213746684654,774.25645968039,704.641595840599,703.052415774529,608.447353759132,0.213115349227395,0.174789030243654,0.170200454099373,0.18718516204557,0.180229754033013,0.157953772214876,0.133195140553339,0.157757734874651,3.88161896289753,2.84651451413387,2.56607329854011,3.46084252885652,2.17472721500457,2.1691623392684,1.46570376572397,2.17287547915308
"81","81","P2","P",2,"Fe3","Fe",3,0,4.38,3.27,2.96,1.79,21,185,202,185,233,260,163,3,0,3,4,1,6,62.16,0.746575342465753,0.60472972972973,52520,1,81.48,86.444,66.067,195.779,102.127,90.033,118.337,209.756,220.602833333333,166.368814814815,193.204928571429,201.751371428571,163.002285714286,147.563378378378,150.863736842105,177.564480769231,5294.468,4491.958,2704.869,7061.298,3423.048,5459.845,5732.822,9233.353,535.973667131791,660.404009881342,400.631873225216,321.659275752287,568.527700273168,1003.77500254765,892.552945114097,606.175926462401,0.11823730956133,0.10987063242291,0.0774040524499155,0.064895200015745,0.0926713146364127,0.148120430507697,0.134653872629339,0.107635313637104,1.30634427844518,0.905338745761959,0.697435128801439,0.687447096267787,0.85433440553173,1.1760937433191,1.01290486718109,1.2010064973026
"82","82","P2","P",2,"Ft1","Ft",1,0,11.53,6.48,13.11,7.17,22,255,308,255,157,144,165,4,0,4,4,0,5,288.42,0.562012142237641,0.546910755148741,44352,1,667.816964052117,209.972267280624,99.1711579718487,287.093297054053,293.132,166.006,256.487,339.193,181.650991452991,179.348016666667,177.946595744681,225.043148148148,116.693533333333,131.479857142857,99.7058936170213,116.702378378378,21253.166,10760.881,8363.49,12152.33,22755.239,12885.026,14058.531,21589.94,369.466874230165,613.011691525571,664.749449688186,492.274524220979,1026.12298117806,1059.50037380574,860.810564464783,775.971141853605,0.0671140240129472,0.10994243106859,0.118289901595163,0.110783008683821,0.119741916308201,0.139302957790782,0.0858278865649337,0.0905576778073017,0.552451616271932,0.902024058891388,0.954120977017149,1.18995192023344,0.614355515445121,0.790210005642449,0.364988214241298,0.469050479497734
"83","83","P2","P",2,"Ft2","Ft",2,0,8.08,8.79,7.26,4.94,19,215,196,215,217,189,35,4,0,4,3,0,5,137.94,1.08787128712871,0.680440771349862,37044,1,399.956,268.739,421.926,474.357,126.2,98.613,184.59,232.865,177.223121212121,183.045268292683,115.49580952381,165.631268817204,122.324510638298,87.2509444444444,126.236972222222,157.44031372549,11696.726,7504.856,7276.236,15403.708,5749.252,1570.517,4544.531,8029.456,466.423786709116,387.300798810574,392.931358812369,462.739482332425,1020.9609652772,551.448275338597,658.837677904893,671.60681597313,0.0826610792881663,0.070893578628252,0.045381925373325,0.0766441275905359,0.124888550458338,0.0481143828355526,0.0831696736446334,0.105737987806987,0.673672998596803,0.658088916894383,0.238343269133044,0.657409689545252,0.67915979601766,0.173479198723327,0.468179753917129,0.793446707253586
"84","84","P2","P",2,"Ft3","Ft",3,0,3.01,1.63,2.19,0.82,27,NA,83,114,146,178,60,4,0,4,2,1,5,59.13,0.541528239202658,0.374429223744292,14774,1,204.402,122.552,110.937,50.304,101.043,146.524,110.493,96.922,213.290071428571,220.196,265.710363636364,267.867583333333,101.887791666667,143.3616,123.694346153846,136.489227272727,5972.122,3963.528,5845.628,3214.411,2445.307,2867.232,3216.053,3002.763,322.296920124038,443.357256468203,534.367273238617,537.676662930504,571.904803947019,383.462026282407,584.764359674325,546.495392574855,0.0687427331144646,0.0976254944452725,0.141986922487605,0.144026148313925,0.0582701175177197,0.0549737296270879,0.0723320451239881,0.0745907338406477,0.734321611845825,1.08714887117771,1.90484675069545,1.77333737535917,0.257822062010504,0.36177295083473,0.403802491378203,0.466960673334286
"85","85","P3","P",3,"Fe1","Fe",1,0,3.34,1.97,2.56,1.67,32,155,231,155,245,292,90,5,0,4,3,1,6,81.92,0.589820359281437,0.65234375,67452,0.8,174.028,106.993,295.521,185.987,199.072,128.937,332.423,225.035,179.261433962264,186.247038461538,167.919534482759,214.178081081081,143.144777777778,134.537306451613,125.365778947368,183.296545454545,9500.856,4842.423,9739.333,7924.589,14171.333,8341.313,23819.498,16130.096,732.273361203498,619.535242241163,467.772507884025,451.247931564177,855.64597150687,791.971258953466,1017.10115768172,660.838321947577,0.131268372781706,0.115386604089968,0.0785481417677179,0.0966474160742225,0.122481252447802,0.106549679966692,0.127509678901039,0.12112938151697,1.31343631881789,1.0450703719261,0.63914019913328,1.04292938376023,0.843459045667916,0.674797757418647,0.835964216369789,1.26238479182736
"86","86","P3","P",3,"Fe2","Fe",2,0,3.4,2.8,2.77,1.25,27,165,205,242,222,180,132,2,0,2,4,1,5,74.79,0.823529411764706,0.451263537906137,36900,1,107.843,148.617,101.604,272.117,113.784,153.437,135.581,266.102,195.795736842105,158.041607843137,187.025518518519,189.789893617021,141.600166666667,120.383441176471,138.034333333333,138.733905660377,7440.238,8060.122,5049.689,17840.25,3398.404,4093.037,2898.721,7352.897,594.389287299282,664.820675417819,508.129510668649,580.558075965911,664.060157955655,676.898088310273,476.929479659636,630.624464224134,0.116378888477817,0.105069328470393,0.0950331852073652,0.110184055476073,0.0940310290432137,0.0814873211965652,0.0658326427718314,0.087488994926797,1.09653177686926,0.778378721945215,0.831422445614746,1.08874258901136,0.611348430200372,0.473880737226501,0.457812221141138,0.61010715563644
"87","87","P3","P",3,"Fe3","Fe",3,0,3.98,3.23,2.31,0.98,33,180,201,249,219,195,86,5,1,4,4,1,4,76.23,0.811557788944724,0.424242424242424,39195,0.8,139.753,274.797,154.046,277.905,125.687,210.901,205.801,218.839,164.40475,127.127169312169,154.493256097561,178.226064516129,151.54586440678,110.405896551724,149.416520408163,151.98187394958,11179.523,24027.035,12668.447,27625.04,8941.206,19210.626,14642.819,18085.843,967.508845383323,1290.31320637528,1083.07578028529,1031.04009287774,1072.49062685131,1666.74732523139,955.321990581219,1126.31343156368,0.159063049848034,0.164033865452599,0.167327903896681,0.183758218111943,0.16253151911435,0.18401873276736,0.142740887702046,0.17117922598363,1.32049797334993,1.08790880343982,1.41518419104866,1.76221176745674,1.22345779422653,1.01977795330086,1.16818695227568,1.40844544715822
"88","88","P3","P",3,"Ft1","Ft",1,0,5.77,3.32,4.34,2.72,39,149,127,149,183,202,27,2,0,2,2,1,5,169.26,0.575389948006932,0.626728110599078,25654,1,251.77,409.808,106.75,296.741,172.684,160.195,279.594,116.551,128.607742857143,133.228907894737,117.621294117647,121.611945454545,116.616387755102,103.897146341463,124.818541666667,125.870743589744,4501.271,10125.397,1999.562,6688.657,5714.203,4259.783,11982.58,4908.959,530.57158933271,679.200648367892,675.410697006808,641.702668538137,655.680900365195,635.40687237558,768.255615488823,838.325133910248,0.0682356145282068,0.0904891606234515,0.0794426802428428,0.0780387099242962,0.076463138120602,0.0660169608055772,0.0958925455525424,0.105520607975254,0.404412886521015,0.596462229037001,0.424992422336643,0.422813845731894,0.414832790011329,0.296385573885741,0.543179987445385,1.18681412326654
"89","89","P3","P",3,"Ft2","Ft",2,0,3.65,1.75,2.59,1.97,21,65,67,108,144,123,47,4,0,3,3,0,4,54.39,0.479452054794521,0.760617760617761,8241,0.75,91.589,167.165,142.681,326.541,84.264,140.242,171.271,249.086,161.302375,158.99447826087,149.103428571429,154.940305555556,94.5749166666667,107.120235294118,129.659518518519,145.804928571429,2580.838,3656.873,4174.896,11155.702,1134.899,1821.044,3500.807,6123.807,604.917552229458,440.814716350101,613.659349067074,726.414915559041,635.293643225185,440.102035387864,543.183162024186,542.028356095987,0.0975746378537982,0.0700871058357976,0.0914987129208118,0.112550948976831,0.060082843366885,0.0471438335841681,0.0704288672554224,0.0790304057442642,0.718431155429708,0.56719781002758,0.672036377237192,1.01067879818224,0.248267028321895,0.233690678996112,0.444257246184354,0.573237950225325
"90","90","P3","P",3,"Ft3","Ft",3,0,6.33,3.94,9.38,5.71,92,210,149,NA,165,167,57,5,0,2,4,0,6,862.96,0.622432859399684,0.608742004264392,24883,0.4,259.603,277.684,152.428,269.782,595.485845847941,242.62048035163,228.217780335932,205.288054000314,226.285328358209,184.570333333333,152.774734693878,221.825686046512,131.855175,120.84984,160.939134328358,138.4640375,15161.117,13842.775,7485.962,19077.009,5274.207,12084.984,21565.844,11077.123,697.103710183743,635.19052896286,763.317569793473,718.260238380935,190.208027240262,839.540456195744,980.613743517988,806.53282077982,0.157744341958654,0.117237327660851,0.116615639212373,0.159328570138782,0.0250799127181695,0.101458329804783,0.157819126992276,0.111675790741438,1.7619696120974,1.13202134012779,0.91332108179094,1.92796598853413,0.30362355428363,0.546519058374609,1.29242600039818,0.72321382567001
