"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","aire_conic","tig_ratio","rac_ratio","surface","inflo","ring_length_µm_R_2021","ring_length_µm_R_2022","ring_length_µm_R_2023","ring_length_µm_R_2024","ring_length_µm_T_2021","ring_length_µm_T_2022","ring_length_µm_T_2023","ring_length_µm_T_2024","mean_vessel_size_µm2_R_2021","mean_vessel_size_µm2_R_2022","mean_vessel_size_µm2_R_2023","mean_vessel_size_µm2_R_2024","mean_vessel_size_µm2_T_2021","mean_vessel_size_µm2_T_2022","mean_vessel_size_µm2_T_2023","mean_vessel_size_µm2_T_2024","sum_vessel_area_µm2_R_2021","sum_vessel_area_µm2_R_2022","sum_vessel_area_µm2_R_2023","sum_vessel_area_µm2_R_2024","sum_vessel_area_µm2_T_2021","sum_vessel_area_µm2_T_2022","sum_vessel_area_µm2_T_2023","sum_vessel_area_µm2_T_2024","vessel_density_per_mm2_R_2021","vessel_density_per_mm2_R_2022","vessel_density_per_mm2_R_2023","vessel_density_per_mm2_R_2024","vessel_density_per_mm2_T_2021","vessel_density_per_mm2_T_2022","vessel_density_per_mm2_T_2023","vessel_density_per_mm2_T_2024","vessel_area_R_2021","vessel_area_R_2022","vessel_area_R_2023","vessel_area_R_2024","vessel_area_T_2021","vessel_area_T_2022","vessel_area_T_2023","vessel_area_T_2024","Kth_R_2021","Kth_R_2022","Kth_R_2023","Kth_R_2024","Kth_T_2021","Kth_T_2022","Kth_T_2023","Kth_T_2024"
"21","21","T2","T",2,"Ho3","Ho",3,0,4.49,1.6,3.79,1.69,8,117,125,224,14.2,NA,NA,10,0,10,2,NA,7,30.32,0.356347438752784,0.445910290237467,NA,1,99.43,159.299,121.767,202.403,95.238,131.868,125.593,263.745,178.810767857143,186.809704081633,168.987791666667,184.965703389831,140.138362068966,170.483631578947,161.864602739726,158.337161904762,10013.403,18307.351,12167.121,21825.953,8128.025,6478.378,11816.116,16625.402,1178.90253618045,1351.21884977875,1185.47595623636,1095.02096006903,1378.75688052153,1295.89277113248,969.904915707822,849.771847178502,0.210800467723159,0.252420793476693,0.200330963918312,0.202541322105775,0.193216730927604,0.220928505759571,0.156993273876354,0.134550462548811,1.76423351023497,2.36913104173492,1.59991696679924,2.00270886511642,1.26274699494599,1.79794378514741,1.18332454812066,1.1047193108271
"22","22","t2","T",2,"Ho1","Ho",1,1,4.59,2.88,NA,NA,NA,135,132,248,7,36,32,4,0,2,NA,0,NA,NA,0.627450980392157,NA,4752,0.5,NA,NA,NA,NA,516.859400345351,328.323478624876,412.478153942756,554.93328449584,NA,NA,NA,NA,127.491572755418,128.250955645161,167.536577039275,150.851016393443,NA,NA,NA,NA,41179.778,31806.237,55454.607,55211.472,NA,NA,NA,NA,1099.84620316519,1315.12484836123,1453.38300849535,1127.755264755,NA,NA,NA,NA,0.140221122230605,0.168666018595026,0.243494814370354,0.170123027931347,NA,NA,NA,NA,0.805342590050855,1.04056577589811,2.2060883583909,1.34795680778688
"23","23","t2","T",2,"Ho2","Ho",2,1,5.83,2.69,NA,NA,NA,163,175,163,11,NA,17,5,0,5,3,0,5,NA,0.461406518010292,NA,NA,1,NA,NA,NA,NA,118.781,164.325,237.328,160.989,NA,NA,NA,NA,96.2915142857143,99.0425466666667,91.2678051948052,104.511078431373,NA,NA,NA,NA,3370.203,7428.191,7027.621,5330.065,NA,NA,NA,NA,972.776493237984,1410.71487297843,1074.73638925152,1013.58464108572,NA,NA,NA,NA,0.0936701215954324,0.139720793640327,0.0980888314099765,0.105930823921344,NA,NA,NA,NA,0.381127410263059,0.584873398956855,0.381980715404358,0.498447626909572
"24","24","t2","T",2,"Ho3","Ho",3,1,4.84,2.79,NA,NA,NA,127,90,127,17,104,NA,9,0,1,NA,0,NA,NA,0.576446280991736,NA,9360,0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","25","T2","T",2,"Fe1","Fe",1,0,6.79,4.81,6.95,3.04,10,385,450,385,36,139,92,9,0,2,4,0,5,69.5,0.70839469808542,0.437410071942446,62550,0.222222222222222,NA,NA,NA,NA,78.815,104.815,78.787,57.156,NA,NA,NA,NA,164.473088235294,148.936596153846,202.9370625,200.234818181818,NA,NA,NA,NA,5592.085,7744.703,6493.986,4405.166,NA,NA,NA,NA,1131.76429998222,1425.63142346601,1240.86871777988,887.107726547041,NA,NA,NA,NA,0.186144769572532,0.21232869158099,0.25181825253439,0.177629854332833,NA,NA,NA,NA,1.91997353083615,1.91755749847075,2.81745746982785,1.88004630607969
"26","26","T2","T",2,"Fe2","Fe",2,0,4.25,3.33,4.2,2.57,9,203,146,203,185,169,22,4,0,2,2,1,3,37.8,0.783529411764706,0.611904761904762,24674,0.5,113.513,165.201,148.1,85.353,185.246,211.996,182.122,123.062,284.81364516129,321.562703703704,243.03876744186,270.110095238095,170.89241509434,155.939841269841,146.676536585366,147.5938,8829.223,8682.193,10450.667,5672.312,9057.298,9824.21,6013.738,5165.783,1026.13243341542,582.270604680887,761.726867654001,653.965383070056,1058.10621277507,1130.52180224403,888.274530930436,1101.05784245637,0.292256518779272,0.187236509928377,0.185129159041978,0.17664265190347,0.180822326127456,0.176293390394029,0.130289031733867,0.162509310987937,4.81220920101303,3.16442811269226,2.4858126730249,3.16245783492152,1.56697051781436,1.49611099722463,0.951490998470609,1.21759785088241
"27","27","T2","T",2,"Fe3","Fe",3,0,5.92,4.28,5.95,2.26,15,295,281,323,NA,149,51,2,0,2,4,1,4,89.25,0.722972972972973,0.379831932773109,41869,1,141.858,87.489,114.222,86.293,174.781,155.066,90.877,116.964,202.326086956522,181.438066666667,183.357294117647,194.874043478261,175.77947,205.474620253165,167.008610169492,186.119441176471,4653.5,2721.571,6234.148,4482.103,17577.947,16232.495,9853.508,6328.061,371.864053511893,375.869949825885,612.518415835329,499.987944586009,981.184739391644,855.939152943699,887.851058570964,589.811434319797,0.0752377988268519,0.0681971170145055,0.112309719324794,0.0974346724518602,0.172472133462351,0.175873772410922,0.148278771329449,0.109775374555093,0.802917295222984,0.636149166476016,1.10501491586152,0.929687813750603,1.70638443000632,1.80594057271494,1.39651853310488,1.03882668272587
"28","28","T2","T",2,"Fe1","Fe",1,0,4.43,2.75,5.22,NA,45,205,284,253,295,350,75,6,1,2,3,0,5,234.9,0.620767494356659,NA,99400,0.333333333333333,105.979,65.494,97.688,111.833,72.744,63.843,68.552,81.116,161.861444444444,154.354625,165.706526315789,190.826090909091,189.829736842105,189.727235294118,158.028166666667,192.5633,2913.506,2469.674,3148.424,4198.174,3606.765,3225.363,1896.338,3851.266,605.984651666232,769.25008881244,736.039054923321,654.838680472648,730.406812576425,795.973987697919,538.806993214541,721.891776008562,0.0980855510298599,0.118737308989861,0.1219664750241,0.124960305570663,0.138652933019064,0.15101794405196,0.085146681324873,0.13900986263107,0.732969613462326,0.86482993035155,0.978025487668743,1.1430058218261,1.55644110046154,1.41123148978144,0.589729446666424,1.19523017863539
"29","29","T2","T",2,"Fe2","Fe",2,0,3.92,3.26,NA,NA,32,NA,181,295,237,193,18,2,0,2,2,1,5,NA,0.831632653061224,NA,34933,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","30","T2","T",2,"Fe3","Fe",3,0,5.05,2.97,NA,NA,14,182,204,194,115,115,17,5,0,3,2,0,6,NA,0.588118811881188,NA,23460,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
