"","code","species","site_type","site_replicate","site","micro","num","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","aire_conic","tig_ratio","rac_ratio","surface","inflo"
"59","F1-Ft2","Fumana thymifolia","F",1,"F1",0,59,8.54,3.88,6.57,3.1,20,122,155,122,290,290,38,7,1,6,4,0,4,131.4,0.454332552693208,0.471841704718417,44950,0.857142857142857
"60","F1-Ft3","Fumana thymifolia","F",1,"F1",0,60,5.49,2.77,3.93,2.45,23,86,102,86,240,204,25,3,0,2,2,0,3,90.39,0.504553734061931,0.623409669211196,20808,0.666666666666667
"61","F2-Fe1","Fumana ericoides","F",2,"F2",0,61,2.77,2.23,1.77,1.03,49,150,172,275,220,195,42,1,0,1,1,0,3,86.73,0.805054151624549,0.581920903954802,33540,1
"62","F2-Fe2","Fumana ericoides","F",2,"F2",0,62,4.9,2.42,4.11,1.89,26,283,263,283,278,243,37,8,0,2,3,0,4,106.86,0.493877551020408,0.45985401459854,63909,0.25
"63","F2-Fe3","Fumana ericoides","F",2,"F2",0,63,2.44,1.94,2.06,1.29,20,160,138,175,235,191,50,6,2,1,3,1,4,41.2,0.795081967213115,0.62621359223301,26358,0.166666666666667
"64","F2-Ft1","Fumana thymifolia","F",2,"F2",0,64,4.53,3.5,2.99,1.71,29,136,139,136,222,206,37,4,0,4,3,0,3,86.71,0.772626931567329,0.57190635451505,28634,1
"65","F2-Ft2","Fumana thymifolia","F",2,"F2",0,65,3.5,2.05,1.88,1.03,16,54,50,54,168,174,69,2,0,2,3,1,5,30.08,0.585714285714286,0.547872340425532,8700,1
"66","F2-Ft3","Fumana thymifolia","F",2,"F2",0,66,5.25,2.92,4.16,2.38,27,129,77,149,195,200,23,2,0,2,4,1,4,112.32,0.556190476190476,0.572115384615385,15400,1
"67","F3-Fe1","Fumana ericoides","F",3,"F3",0,67,2.6,2.16,1.51,0.98,20,150,104,280,145,248,50,2,0,0,2,1,4,30.2,0.830769230769231,0.649006622516556,25792,0
"68","F3-Fe2","Fumana ericoides","F",3,"F3",0,68,4.62,2.52,3.56,1.38,18,248,205,275,325,278,76,6,0,2,4,0,5,64.08,0.545454545454545,0.387640449438202,56990,0.333333333333333
"69","F3-Fe3","Fumana ericoides","F",3,"F3",0,69,5.18,2.48,3.35,2.06,33,233,280,233,342,322,26,3,0,2,2,0,4,110.55,0.478764478764479,0.614925373134328,90160,0.666666666666667
"70","F3-Ft1","Fumana thymifolia","F",3,"F3",0,70,3.45,2.74,2.19,0.85,27,77,84,101,172,117,47,2,0,2,2,1,3,59.13,0.794202898550725,0.388127853881279,9828,1
"71","F3-Ft2","Fumana thymifolia","F",3,"F3",0,71,4.66,2.81,3.45,3.17,19,188,176,194,118,124,75,3,0,2,1,0,5,65.55,0.603004291845494,0.918840579710145,21824,0.666666666666667
"72","F3-Ft3","Fumana thymifolia","F",3,"F3",0,72,4.6,3.08,6.91,3.92,18,NA,151,151,NA,175,55,4,0,3,3,0,5,124.38,0.669565217391304,0.567293777134588,26425,0.75
"73","P1-Fe1","Fumana ericoides","P",1,"P1",0,73,3.47,2.79,3.1,2.45,10,127,173,127,265,293,15,2,0,1,2,1,5,31,0.804034582132565,0.790322580645161,50689,0.5
"74","P1-Fe2","Fumana ericoides","P",1,"P1",0,74,2.39,1.78,2.6,0.89,27,NA,102,131,254,252,83,3,0,3,3,0,5,70.2,0.744769874476987,0.342307692307692,25704,1
"75","P1-Fe3","Fumana ericoides","P",1,"P1",0,75,4.03,2.18,4.28,2.65,18,113,112,113,284,260,77,2,0,2,4,1,5,77.04,0.540942928039702,0.619158878504673,29120,1
"76","P1-Ft1","Fumana thymifolia","P",1,"P1",0,76,5.59,4.32,4.25,3.84,65,179,143,183,198,206,32,3,0,3,2,1,5,276.25,0.772808586762075,0.903529411764706,29458,1
"77","P1-Ft2","Fumana thymifolia","P",1,"P1",0,77,9.33,4.84,10.85,6.22,49,163,277,163,165,172,32,4,0,4,4,0,5,531.65,0.518756698821008,0.573271889400922,47644,1
"78","P1-Ft3","Fumana thymifolia","P",1,"P1",0,78,3.92,2.44,2.54,0.95,49,115,128,181,123,122,32,2,0,2,1,1,5,124.46,0.622448979591837,0.374015748031496,15616,1
"79","P2-Fe1","Fumana ericoides","P",2,"P2",0,79,2.88,2.56,3.11,2.54,22,184,212,184,245,262,149,3,0,3,3,1,6,68.42,0.888888888888889,0.816720257234727,55544,1
"80","P2-Fe2","Fumana ericoides","P",2,"P2",0,80,5.42,2.94,3.54,2.63,36,215,244,235,183,182,97,4,0,4,4,1,6,127.44,0.542435424354244,0.742937853107345,44408,1
"81","P2-Fe3","Fumana ericoides","P",2,"P2",0,81,4.38,3.27,2.96,1.79,21,185,202,185,233,260,163,3,0,3,4,1,6,62.16,0.746575342465753,0.60472972972973,52520,1
"82","P2-Ft1","Fumana thymifolia","P",2,"P2",0,82,11.53,6.48,13.11,7.17,22,255,308,255,157,144,165,4,0,4,4,0,5,288.42,0.562012142237641,0.546910755148741,44352,1
"83","P2-Ft2","Fumana thymifolia","P",2,"P2",0,83,8.08,8.79,7.26,4.94,19,215,196,215,217,189,35,4,0,4,3,0,5,137.94,1.08787128712871,0.680440771349862,37044,1
"84","P2-Ft3","Fumana thymifolia","P",2,"P2",0,84,3.01,1.63,2.19,0.82,27,NA,83,114,146,178,60,4,0,4,2,1,5,59.13,0.541528239202658,0.374429223744292,14774,1
"85","P3-Fe1","Fumana ericoides","P",3,"P3",0,85,3.34,1.97,2.56,1.67,32,155,231,155,245,292,90,5,0,4,3,1,6,81.92,0.589820359281437,0.65234375,67452,0.8
"86","P3-Fe2","Fumana ericoides","P",3,"P3",0,86,3.4,2.8,2.77,1.25,27,165,205,242,222,180,132,2,0,2,4,1,5,74.79,0.823529411764706,0.451263537906137,36900,1
"87","P3-Fe3","Fumana ericoides","P",3,"P3",0,87,3.98,3.23,2.31,0.98,33,180,201,249,219,195,86,5,1,4,4,1,4,76.23,0.811557788944724,0.424242424242424,39195,0.8
"88","P3-Ft1","Fumana thymifolia","P",3,"P3",0,88,5.77,3.32,4.34,2.72,39,149,127,149,183,202,27,2,0,2,2,1,5,169.26,0.575389948006932,0.626728110599078,25654,1
"89","P3-Ft2","Fumana thymifolia","P",3,"P3",0,89,3.65,1.75,2.59,1.97,21,65,67,108,144,123,47,4,0,3,3,0,4,54.39,0.479452054794521,0.760617760617761,8241,0.75
"90","P3-Ft3","Fumana thymifolia","P",3,"P3",0,90,6.33,3.94,9.38,5.71,92,210,149,NA,165,167,57,5,0,2,4,0,6,862.96,0.622432859399684,0.608742004264392,24883,0.4
