"","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ"
"48","1875_F1-Ft3-60_Racine_X200_11µm_square.jpg","1875_F1_Ft3_60_R_X200_11µm",1638803.05953984,"1875","60","F1","F","1","Ft3","Ft","3",0,"R"
"49","1876_F2-Fe2-62_Tige_X200_09µm_square.jpg","1876_F2_Fe2_62_T_X200_09µm",1786589.85662928,"1876","62","F2","F","2","Fe2","Fe","2",0,"T"
"50","1877_F2-Fe2-62_Racine_X200_09µm_square.jpg","1877_F2_Fe2_62_R_X200_09µm",3901711.69160448,"1877","62","F2","F","2","Fe2","Fe","2",0,"R"
"51","1878_F2-Fe3-63_Tige_X200_11µm_square.jpg","1878_F2_Fe3_63_T_X200_11µm",4426602.44742963,"1878","63","F2","F","2","Fe3","Fe","3",0,"T"
"52","1879_F2-Fe3-63_Racine_X200_09µm_square.jpg","1879_F2_Fe3_63_R_X200_09µm",2947846.9668552,"1879","63","F2","F","2","Fe3","Fe","3",0,"R"
"53","1880_F2-Ft2-65_Tige_X200_09µm_square.jpg","1880_F2_Ft2_65_T_X200_09µm",1508985.5942436,"1880","65","F2","F","2","Ft2","Ft","2",0,"T"
"54","1881_F2-Ft2-65_Racine_X200_09µm_square.jpg","1881_F2_Ft2_65_R_X200_09µm",1522900.8694737,"1881","65","F2","F","2","Ft2","Ft","2",0,"R"
"55","1882_F2-Ft3-66_Tige_X200_11µm_square.jpg","1882_F2_Ft3_66_T_X200_11µm",1427378.53131936,"1882","66","F2","F","2","Ft3","Ft","3",0,"T"
"56","1883_F2-Ft3-66_Racine_X200_09µm_square.jpg","1883_F2_Ft3_66_R_X200_09µm",1331892.71619712,"1883","66","F2","F","2","Ft3","Ft","3",0,"R"
"57","1884_F3-Fe3-69_Tige_X200_09µm_square.jpg","1884_F3_Fe3_69_T_X200_09µm",2576013.28165152,"1884","69","F3","F","3","Fe3","Fe","3",0,"T"
"58","1885_F3-Fe3-69_Racine_X200_09µm_square.jpg","1885_F3_Fe3_69_R_X200_09µm",4311949.34506131,"1885","69","F3","F","3","Fe3","Fe","3",0,"R"
"59","1886_F3-Ft1-70_Tige_X200_09µm_square.jpg","1886_F3_Ft1_70_T_X200_09µm",1186633.312929,"1886","70","F3","F","3","Ft1","Ft","1",0,"T"
"60","1887_F3-Ft1-70_Racine_X200_09µm_square.jpg","1887_F3_Ft1_70_R_X200_09µm",1379957.02644072,"1887","70","F3","F","3","Ft1","Ft","1",0,"R"
"61","1888_F3-Ft2-71_Tige_X200_09µm_square.jpg","1888_F3_Ft2_71_T_X200_09µm",1690285.925588,"1888","71","F3","F","3","Ft2","Ft","2",0,"T"
"62","1889_F3-Ft2-71_Racine_X200_09µm_square.jpg","1889_F3_Ft2_71_R_X200_09µm",2337474.0544,"1889","71","F3","F","3","Ft2","Ft","2",0,"R"
"63","1890_P1-Fe1-73_Tige_X200_11µm_square.jpg","1890_P1_Fe1_73_T_X200_11µm",1678905.34878564,"1890","73","P1","P","1","Fe1","Fe","1",0,"T"
"64","1891_P1-Fe1-73_Racine_X200_09µm_square.jpg","1891_P1_Fe1_73_R_X200_09µm",2706345.72170037,"1891","73","P1","P","1","Fe1","Fe","1",0,"R"
"65","1892_P1-Fe2-74_Tige_X200_09µm_square.jpg","1892_P1_Fe2_74_T_X200_09µm",1890066.911175,"1892","74","P1","P","1","Fe2","Fe","2",0,"T"
"66","1893_P1-Fe2-74_Racine_X200_09µm_square.jpg","1893_P1_Fe2_74_R_X200_09µm",1654219.43138925,"1893","74","P1","P","1","Fe2","Fe","2",0,"R"
