"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","year","ring_length_µm","mean_vessel_size_µm2","vessel_density_per_mm2","vessel_area","Kth"
"82","11","T1","T",1,"Fe2","Fe",2,1,"R","2022",128.745,237.48768852459,597.066257811118,0.14179588546359,1.83541419320175
"83","11","T1","T",1,"Fe2","Fe",2,1,"R","2023",106.935,294.157725490196,453.175738705014,0.133305144544806,2.04916410066875
"84","11","T1","T",1,"Fe2","Fe",2,1,"R","2024",284.825,229.678538888889,604.079214924014,0.138744031456895,1.64057475914901
"85","11","T1","T",1,"Fe2","Fe",2,1,"T","2021",107.671,189.618114285714,840.051348677556,0.159288952639409,1.50303738015836
"86","11","T1","T",1,"Fe2","Fe",2,1,"T","2022",108.17,196.953407407407,588.153609128408,0.115838857396804,1.20921824528897
"87","11","T1","T",1,"Fe2","Fe",2,1,"T","2023",135.947,159.529790697674,727.395437007547,0.116041241820257,0.870559753131238
"88","11","T1","T",1,"Fe2","Fe",2,1,"T","2024",96.336,274.677558823529,714.851652052309,0.196353706706695,3.29166269980071
"89","12","T1","T",1,"Fe3","Fe",3,1,"R","2021",147.567,202.036423728814,626.999373276919,0.126676711057076,1.2315598803929
"90","12","T1","T",1,"Fe3","Fe",3,1,"R","2022",108.969,241.204317073171,598.872326651712,0.144450590564047,1.79064601213871
"91","12","T1","T",1,"Fe3","Fe",3,1,"R","2023",172.799,197.131120689655,563.832565610094,0.111148945540041,1.0703917038407
"92","12","T1","T",1,"Fe3","Fe",3,1,"R","2024",189.476,219.255816901408,547.077263632543,0.11994987234594,1.35652909187522
"93","12","T1","T",1,"Fe3","Fe",3,1,"T","2021",108.844,158.839444444444,666.289557134978,0.105833063094455,0.789961708020701
"94","12","T1","T",1,"Fe3","Fe",3,1,"T","2022",159.299,147.828536585366,788.126510877021,0.11650758874708,0.877747493465062
"95","12","T1","T",1,"Fe3","Fe",3,1,"T","2023",120.356,148.197307692308,700.912332092576,0.103873320544456,0.780283876385101
"96","12","T1","T",1,"Fe3","Fe",3,1,"T","2024",214.558,173.149333333333,618.088422332226,0.107021598267877,0.884738544097285
"97","13","T1","T",1,"Ft1","Ft",1,0,"R","2021",53.501,431.750176470588,663.012752131986,0.286255872735235,6.53390652629278
"98","13","T1","T",1,"Ft1","Ft",1,0,"R","2022",116.377,398.1049375,539.314211602535,0.214703650502889,4.69020753755497
"99","13","T1","T",1,"Ft1","Ft",1,0,"R","2023",49.158,371.566,623.64000620473,0.231723422545467,4.38567717954137
"100","13","T1","T",1,"Ft1","Ft",1,0,"R","2024",76.459,438.554266666667,622.141641883973,0.272842871519222,7.07120674041308
"101","13","T1","T",1,"Ft1","Ft",1,0,"T","2021",87.937,191.386181818182,658.568852252059,0.126040978096904,1.47934639603124
"102","13","T1","T",1,"Ft1","Ft",1,0,"T","2022",166.405,258.212857142857,535.825743661087,0.138357096201425,2.33066775377607
"103","13","T1","T",1,"Ft1","Ft",1,0,"T","2023",107.275,260.091666666667,888.393320825606,0.231063699469066,3.39031296763408
"104","13","T1","T",1,"Ft1","Ft",1,0,"T","2024",66.466,221.152,540.555722100278,0.119544979053921,1.39232303714757
"105","14","T1","T",1,"Ft2","Ft",2,0,"R","2021",183.33,226.498014084507,795.572056159749,0.180195490781311,2.01650899587588
"106","14","T1","T",1,"Ft2","Ft",2,0,"R","2022",146.506,229.954545454545,622.858930844125,0.143229242324565,1.52654677521108
"107","14","T1","T",1,"Ft2","Ft",2,0,"R","2023",241.797,221.382358024691,778.912870366562,0.17243756793753,1.8321123120726
"108","14","T1","T",1,"Ft2","Ft",2,0,"R","2024",51.625,251.422,669.542557131116,0.168337728799019,1.99704818179022
"109","14","T1","T",1,"Ft2","Ft",2,0,"T","2021",420.074,153.214620689655,505.500650850116,0.0774500904783744,0.653902409156523
"110","14","T1","T",1,"Ft2","Ft",2,0,"T","2022",187.253,144.147125,698.725402843033,0.10071925798429,0.677850949403397
"111","14","T1","T",1,"Ft2","Ft",2,0,"T","2023",39.552,145.303461538462,1065.81536508422,0.154866661907616,0.965123726383202
"112","14","T1","T",1,"Ft2","Ft",2,0,"T","2024",29.29,153.9028,878.358691203434,0.135181861980544,1.1434284545355
"113","15","T1","T",1,"Ft1","Ft",1,0,"R","2021",83.858,225.659411764706,957.936849258831,0.216167465911484,2.29651223775496
"114","15","T1","T",1,"Ft1","Ft",1,0,"R","2022",217.227,181.591402061856,1367.89855798567,0.248398617023008,2.55536862060984
"115","15","T1","T",1,"Ft1","Ft",1,0,"R","2023",247.528,239.120894736842,738.145123917654,0.176505922476827,2.07614436871011
"116","15","T1","T",1,"Ft1","Ft",1,0,"R","2024",28.277,202.958866666667,948.814488241032,0.192570313210313,1.99757513455284
