"","id_amap","image_surface_rectified_µm2","mean_vessel_size_µm2","std_dev_vessel_size_µm2","mean_vessel_perim_µm","std_dev_perim_µm","sum_vessel_area_µm2","dh","count_vessel","count_cluster","vessel_grouping","image_surface_rectified_mm2","vessel_density_per_mm2","vessel_density_per_m2","dh_m","vessel_area","Kth"
"39","1866",546514.318563381,138.79348419443,145.029163068654,61.6178591207383,46.2690057116081,14850.902808804,15.9677067059436,107,92,1.16304347826087,0.546514318563381,195.786270122383,195786270.122383,1.59677067059436e-05,0.0271738585877173,0.311201848181684
"40","1867",483131.848190665,112.306823350685,55.3854010960851,46.6597405787113,19.5930364038431,37735.09264583,12.6249849625105,336,243,1.38271604938272,0.483131848190665,695.46232826158,695462328.26158,1.26249849625105e-05,0.078105164847129,0.432003072095955
"41","1868",169066.740764932,183.900497505057,86.7546198795343,54.7836468390283,13.9775483253267,19493.452735536,16.0833377304167,106,80,1.325,0.169066740764932,626.971334044825,626971334.044825,1.60833377304166e-05,0.115300340252252,1.02575149494922
"42","1869",157910.219069681,228.5379805583,151.372463088293,61.49557305657,23.3072576746501,22853.79805583,18.6679205355311,100,76,1.31578947368421,0.157910219069681,633.271238486934,633271238.486934,1.86679205355311e-05,0.144726529989458,1.88045647265142
"43","1870",124651.206053618,183.076575066372,89.9805193019964,52.6562358630465,13.960867531733,15744.585455708,16.107115637798,86,63,1.36507936507937,0.124651206053618,689.925133680677,689925133.680677,1.6107115637798e-05,0.126309130526467,1.13543641868345
"44","1871",104666.008822416,257.813831868143,130.778518210989,60.0408088632714,16.4188117601379,18046.96823077,19.1712776923717,70,54,1.2962962962963,0.104666008822416,668.794012378624,668794012.378623,1.91712776923717e-05,0.172424347061803,2.20895238703928
"45","1872",443262.485865734,118.387313093952,75.5520751250339,55.8534111025455,35.4220936951555,46881.375985205,13.3697296461174,396,174,2.27586206896552,0.443262485865734,893.37584981182,893375849.81182,1.33697296461174e-05,0.105764366442247,0.697934162340113
"46","1873",214064.921515648,163.763178346466,101.992091547666,53.8845181489248,22.1099951576692,21780.50272008,15.6647328959603,133,83,1.60240963855422,0.214064921515648,621.306840272183,621306840.272182,1.56647328959603e-05,0.101747182891373,0.91471933266391
"47","1874",77247.4199917266,314.447201041348,166.653756915793,76.0964004982174,23.8347885081274,14464.571247902,21.2612095903021,46,31,1.48387096774194,0.0772474199917266,595.489143908324,595489143.908324,2.12612095903021e-05,0.187249894552481,2.97519523913301
"48","1875",115174.172518935,258.280996560667,124.288772118237,65.1736542342564,16.6414383220904,20145.917731732,19.092106893577,78,63,1.23809523809524,0.115174172518935,677.235167347754,677235167.347754,1.9092106893577e-05,0.174916973928508,2.20011143371004
"49","1876",131499.2136154,196.182526775765,169.665682221286,63.6491384416325,32.317585050307,32566.299444777,18.1608714717823,166,39,4.25641025641026,0.1314992136154,1262.36496353131,1262364963.53131,1.81608714717823e-05,0.247653948258768,3.35754172731871
"50","1877",292497.073374146,182.411211316597,156.54512623802,59.5336503379579,21.6434909502913,69316.260300307,17.4895493427539,380,107,3.55140186915888,0.292497073374146,1299.15829794962,1299158297.94962,1.74895493427539e-05,0.236981038820999,2.97211968980892
"51","1878",320829.058439538,140.569453511785,99.6820385598836,61.0190968581728,26.239476270582,49621.01708966,14.8090639141067,353,139,2.53956834532374,0.320829058439538,1100.27440069468,1100274400.69468,1.48090639141067e-05,0.154664971218657,1.29390140859218
"52","1879",220989.319230152,183.96540409291,111.112058448586,63.5872052878077,22.6268773831375,14349.301519247,16.5278885585714,78,62,1.25806451612903,0.220989319230152,352.958234686292,352958234.686292,1.65278885585714e-05,0.0649321042719841,0.643995109426763
"53","1880",107836.884659968,103.986293537763,33.3671149251758,46.4619270066316,10.7248851283614,3951.479154435,11.7846416955665,38,24,1.58333333333333,0.107836884659968,352.384067101177,352384067.101177,1.17846416955665e-05,0.0366431130396138,0.166177239869851
"54","1881",114166.315342696,214.124301853891,102.891440946497,75.2101725106719,23.829721709131,13703.955318649,17.3790148462544,64,45,1.42222222222222,0.114166315342696,560.585666690648,560585666.690648,1.73790148462544e-05,0.120035014509433,1.2503521731381
"55","1882",101859.834359152,188.201063114582,93.4230712457537,70.7800001332755,30.5737492731478,18443.704185229,16.3479147432496,98,55,1.78181818181818,0.101859834359152,962.1064143346,962106414.3346,1.63479147432496e-05,0.18106945000713,1.6802051583033
"56","1883",85427.7375289448,266.381335137095,160.041680098522,97.7580800939054,46.9776266861691,19712.218800145,19.8736860935306,74,36,2.05555555555556,0.0854277375289448,866.229191366881,866229191.366881,1.98736860935306e-05,0.230747288531036,3.30397129436836
"57","1884",188067.901405152,174.027172294927,112.443619310725,55.0216165428333,17.0469659741766,26104.075844239,16.2341450290627,150,86,1.74418604651163,0.188067901405152,797.58427078344,797584270.78344,1.62341450290627e-05,0.138801335311353,1.35451560721647
"58","1885",323251.091740546,226.918233754301,124.863975596281,60.0881380977796,18.6610285968183,42206.7914783,18.1539970405882,186,138,1.34782608695652,0.323251091740546,575.404089119955,575404089.119955,1.81539970405882e-05,0.130569679598103,1.52809984678968
