 ,Label,Area,X,Y,Perim.
163,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.057362212,520.873687424,19.746569076,31.237760876
164,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,140.185513239,639.799436516,23.201215923,47.084274008
165,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,156.613503072,585.811159172,26.145561832,51.524272634
166,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.877947469,836.959292149,27.499784789,44.991238584
167,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,70.640356281,84.471826972,27.191207304,32.971688195
168,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,88.437345266,124.261018365,29.533345440,43.384275153
169,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,69.545156959,563.024469150,31.655100723,38.891686363
170,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,96.651340183,45.742162642,33.769466378,60.404269886
171,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,76.390152722,24.655994812,33.360096430,48.257755609
172,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,79.675750689,291.274469769,33.831112540,39.198204304
173,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,78.306751536,789.143878987,34.730849183,39.198204304
174,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.556955095,249.948908215,35.910366745,38.637758586
175,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,132.245318154,752.347108475,40.526560912,48.691237439
176,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,71.187955942,695.201716289,40.373445821,39.938204075
177,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,75.568753231,442.193546626,42.478760620,36.365169108
178,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,178.243689685,215.550095766,45.728081743,56.936415249
179,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,67.080958484,339.952735843,43.427281435,36.238205220
180,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,104.317735438,841.380326648,48.224277810,49.917309204
181,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,100.484537810,47.176704801,49.785870214,44.251238813
182,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.556955095,483.278917703,48.427113497,40.805167734
183,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,135.530916120,599.832768584,51.730216190,51.090790805
184,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,106.234334252,248.287675851,50.195089243,49.917309204
185,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,110.615131541,669.947482425,54.365818038,43.077757212
186,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,65.164359670,808.762519188,53.495523059,35.318651396
187,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,60.235962720,28.912430252,55.137212743,40.244722016
188,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.877947469,447.431896172,55.335468004,47.951237668
189,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,85.973146791,384.275304815,57.750113567,36.851241103
190,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,111.984130693,646.006556216,59.302883591,51.883380740
191,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,81.866149333,163.653144829,58.450114268,44.251238813
192,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,193.576480196,707.368631868,61.280125037,58.311234462
193,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,85.973146791,294.369768036,58.005077277,42.083829664
194,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.604147639,772.385107003,58.346749250,44.251238813
195,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,67.902357975,320.515038628,60.233846071,45.297756525
196,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,68.723757467,193.932031802,63.148588212,38.458204533
197,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,129.233520018,571.573829607,68.070212470,45.170792637
198,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,13449.869075903,18.248278456,313.445897129,918.889855997
199,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.604147639,521.913454340,70.381702942,42.031239500
200,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,100.758337641,611.826105157,71.093531383,45.731238355
201,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,122.936123915,257.941560260,72.337332049,50.403381198
202,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,119.102926287,652.610249739,72.686669590,69.389447468
203,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,102.674936455,56.590794133,81.517450683,46.269900513
204,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,60.783562381,699.535808112,80.320234420,33.764278130
205,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,109.519932218,598.712783214,83.442781644,50.963826916
206,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.878761703,94.584826512,85.941794167,33.584724077
207,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,93.365742216,319.398893730,87.283720312,59.664270115
208,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.283155264,459.556054501,86.656819886,35.625169337
209,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,110.341331710,198.918217497,88.743014072,42.644275382
210,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,68.723757467,349.840239273,87.141361820,36.058651167
211,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,82.961348655,134.248708215,89.124107848,38.891686363
212,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,96.377540352,756.508923942,89.124956593,45.297756525
213,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,130.328719340,575.276942445,91.875900588,46.471238126
214,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,114.995928829,237.366413260,93.964832021,43.204721100
215,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,67.080958484,647.417503970,91.317213401,35.064723619
216,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,60.783562381,814.009289495,93.658621208,31.977760647
217,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,101.853536963,429.629279540,95.008054248,39.863830351
218,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,91.449143402,61.442182873,95.657672150,49.790345316
219,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,75.294953400,708.091960366,96.459440303,36.417759273
220,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,73.925954247,490.008662841,96.909478156,38.278650480
221,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,155.792103581,527.060989268,101.801435863,64.156858906
222,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,110.341331710,666.028671729,101.533641844,61.249449986
223,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,97.472739674,206.480002399,101.575420709,48.564273550
224,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,120.471925440,756.276727825,103.097454584,49.663381427
225,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,80.223350350,27.942558679,104.200839964,38.891686363
226,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,116.364927982,598.917777566,103.307919369,51.883380740
227,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,92.270542894,463.943505434,106.369830354,43.511239042
228,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,82.687548825,361.888943679,107.496774681,38.204276756
229,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,62.973961026,67.436691366,114.944045428,36.492132997
230,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,78.032951706,433.815557679,115.679681124,41.418203617
231,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,78.032951706,340.376213938,115.760464948,53.056862341
232,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,103.770135777,127.565400799,117.776732487,41.904275611
233,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,88.711145097,603.008996822,119.222269380,42.771239271
234,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.283155264,644.002819255,118.890754650,39.303384633
235,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,111.162731202,714.012485523,122.615273539,44.557756754
236,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,107.055733743,236.684969128,124.750398165,43.563829206
237,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,82.413748994,571.934967790,123.809825132,42.464721329
238,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,109.246132388,35.003919196,128.043015812,45.551684302
239,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,110.888931371,804.581551185,126.431613620,45.118202472
240,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,123.209923746,751.222972227,133.093797057,47.338201785
241,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,138.268914426,613.915784337,133.561045917,63.162931358
242,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,65.985759162,463.547638594,135.740078002,36.365169108
243,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,70.366556450,38.764929929,139.022955590,37.718204762
244,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,119.924325779,573.758114395,141.800760708,43.384275153
245,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,63.521560687,350.055663916,141.699400418,38.764722474
246,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,69.271357128,689.472135225,143.471166886,38.331240645
247,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,73.378354586,129.508519357,144.686931102,42.771239271
248,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,124.031323237,248.584342224,148.884471029,52.443826458
