number,Label,Area,Perim.,%Area
146,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,159.077701547,50.403381198,100.000000000
147,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,226.158660031,65.763822336,100.000000000
148,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,485.173299727,87.793284459,99.830699774
149,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,167.291696464,50.403381198,100.000000000
150,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,206.445072232,64.875075118,100.000000000
151,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,240.396251219,79.114624820,100.000000000
152,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,165.648897480,75.541589853,100.000000000
153,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,84.604147639,35.677759502,100.000000000
154,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,95.556140860,40.476866234,100.000000000
155,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,65.985759162,32.897314471,99.585062241
156,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,91.996743063,42.136419829,100.000000000
157,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,69.545156959,36.290795385,96.850393701
158,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,88.711145097,44.864274695,95.987654321
159,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,173.862892397,68.469893644,96.850393701
160,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.878761703,31.185170711,91.592920354
161,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,87.615945775,37.284722932,94.375000000
162,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,149.220907647,50.044273092,96.330275229
163,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.057362212,31.237760876,94.618834081
164,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,140.185513239,47.084274008,94.726562500
165,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,156.613503072,51.524272634,94.580419580
166,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.877947469,44.991238584,94.516129032
167,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,70.640356281,32.971688195,86.434108527
168,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,88.437345266,43.384275153,94.427244582
169,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,69.545156959,38.891686363,94.094488189
170,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,96.651340183,60.404269886,97.450424929
171,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,76.390152722,48.257755609,89.605734767
172,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,79.675750689,39.198204304,92.096219931
173,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,78.306751536,39.198204304,95.104895105
174,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.556955095,38.637758586,96.603773585
175,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,132.245318154,48.691237439,98.343685300
176,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,71.187955942,39.938204075,94.615384615
177,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,75.568753231,36.365169108,95.652173913
178,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,178.243689685,56.936415249,95.084485407
179,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,67.080958484,36.238205220,97.551020408
180,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,104.317735438,49.917309204,92.650918635
181,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,100.484537810,44.251238813,91.280653951
182,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.556955095,40.805167734,92.452830189
183,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,135.530916120,51.090790805,96.161616162
184,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,106.234334252,49.917309204,95.618556701
185,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,110.615131541,43.077757212,96.287128713
186,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,65.164359670,35.318651396,94.957983193
187,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,60.235962720,40.244722016,94.090909091
188,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.877947469,47.951237668,97.096774194
189,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,85.973146791,36.851241103,92.038216561
190,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,111.984130693,51.883380740,96.332518337
191,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,81.866149333,44.251238813,97.324414716
192,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,193.576480196,58.311234462,98.161244696
193,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,85.973146791,42.083829664,93.949044586
194,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.604147639,44.251238813,99.029126214
195,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,67.902357975,45.297756525,91.935483871
196,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,68.723757467,38.458204533,86.852589641
197,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,129.233520018,45.170792637,95.974576271
198,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,13449.869075903,918.889855997,99.981678643
199,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.604147639,42.031239500,95.792880259
200,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,100.758337641,45.731238355,98.369565217
201,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,122.936123915,50.403381198,97.104677060
202,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,119.102926287,69.389447468,96.781609195
203,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,102.674936455,46.269900513,88.000000000
204,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,60.783562381,33.764278130,96.396396396
205,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,109.519932218,50.963826916,97.000000000
206,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.878761703,33.584724077,92.477876106
207,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,93.365742216,59.664270115,95.894428152
208,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.283155264,35.625169337,89.772727273
209,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,110.341331710,42.644275382,95.781637717
210,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,68.723757467,36.058651167,94.422310757
211,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,82.961348655,38.891686363,97.029702970
212,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,96.377540352,45.297756525,97.159090909
213,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,130.328719340,46.471238126,97.058823529
214,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,114.995928829,43.204721100,96.428571429
215,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,67.080958484,35.064723619,95.102040816
216,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,60.783562381,31.977760647,87.837837838
217,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,101.853536963,39.863830351,97.580645161
218,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,91.449143402,49.790345316,94.011976048
219,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,75.294953400,36.417759273,98.181818182
220,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,73.925954247,38.278650480,95.925925926
221,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,155.792103581,64.156858906,96.309314587
222,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,110.341331710,61.249449986,95.533498759
223,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,97.472739674,48.564273550,96.629213483
224,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,120.471925440,49.663381427,97.500000000
225,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,80.223350350,38.891686363,93.856655290
226,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,116.364927982,51.883380740,97.647058824
227,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,92.270542894,43.511239042,92.284866469
228,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,82.687548825,38.204276756,93.377483444
229,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,62.973961026,36.492132997,94.347826087
230,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,78.032951706,41.418203617,93.684210526
231,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,78.032951706,53.056862341,96.140350877
232,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,103.770135777,41.904275611,96.569920844
233,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,88.711145097,42.771239271,97.530864198
234,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.283155264,39.303384633,93.939393939
235,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,111.162731202,44.557756754,98.029556650
236,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,107.055733743,43.563829206,90.281329923
237,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,82.413748994,42.464721329,95.348837209
238,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,109.246132388,45.551684302,91.478696742
239,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,110.888931371,45.118202472,97.530864198
240,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,123.209923746,47.338201785,99.111111111
241,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,138.268914426,63.162931358,96.633663366
242,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,65.985759162,36.365169108,90.871369295
243,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,70.366556450,37.718204762,90.661478599
244,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,119.924325779,43.384275153,93.378995434
245,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,63.521560687,38.764722474,91.379310345
246,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,69.271357128,38.331240645,96.837944664
247,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,73.378354586,42.771239271,96.268656716
248,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,124.031323237,52.443826458,97.130242826
249,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,154.149304597,60.277305998,95.381882771
250,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,85.151747300,42.644275382,93.890675241
251,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,98.294139166,45.170792637,94.707520891
252,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,67.902357975,37.897758815,92.338709677
253,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,80.770950011,56.756861196,94.915254237
254,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,89.532544588,45.043828748,93.272171254
255,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,62.426361364,34.018205907,91.666666667
256,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,79.401950858,42.210793553,94.827586207
257,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,89.806344419,38.151686592,95.426829268
258,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,162.910899175,54.970343713,93.277310924
259,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,82.139949164,54.050789889,95.000000000
260,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.331162042,35.931687279,95.535714286
261,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,113.900729507,50.657308975,92.307692308
