"","X","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","image_surface_rectified_µm2"
"56",56,"1883_F2-Ft3-66_Racine_X200_09µm_square.jpg","1883_F2_Ft3_66_R_X200_09µm",99847.1318048098,"1883",66,"F2","F",2,"Ft3","Ft",3,0,"R",85427.7375289448
"57",57,"1884_F3-Fe3-69_Tige_X200_09µm_square.jpg","1884_F3_Fe3_69_T_X200_09µm",193114.306081942,"1884",69,"F3","F",3,"Fe3","Fe",3,0,"T",188067.901405152
"58",58,"1885_F3-Fe3-69_Racine_X200_09µm_square.jpg","1885_F3_Fe3_69_R_X200_09µm",323251.091740546,"1885",69,"F3","F",3,"Fe3","Fe",3,0,"R",323251.091740546
"59",59,"1886_F3-Ft1-70_Tige_X200_09µm_square.jpg","1886_F3_Ft1_70_T_X200_09µm",88957.564944341,"1886",70,"F3","F",3,"Ft1","Ft",1,0,"T",88957.564944341
"60",60,"1887_F3-Ft1-70_Racine_X200_09µm_square.jpg","1887_F3_Ft1_70_R_X200_09µm",103450.337574793,"1887",70,"F3","F",3,"Ft1","Ft",1,0,"R",88681.848514982
"61",61,"1888_F3-Ft2-71_Tige_X200_09µm_square.jpg","1888_F3_Ft2_71_T_X200_09µm",126714.561576611,"1888",71,"F3","F",3,"Ft2","Ft",2,0,"T",126714.561576611
"62",62,"1889_F3-Ft2-71_Racine_X200_09µm_square.jpg","1889_F3_Ft2_71_R_X200_09µm",175231.891549333,"1889",71,"F3","F",3,"Ft2","Ft",2,0,"R",175231.891549333
"63",63,"1890_P1-Fe1-73_Tige_X200_11µm_square.jpg","1890_P1_Fe1_73_T_X200_11µm",125861.40130463,"1890",73,"P1","P",1,"Fe1","Fe",1,0,"T",125861.40130463
"64",64,"1891_P1-Fe1-73_Racine_X200_09µm_square.jpg","1891_P1_Fe1_73_R_X200_09µm",202884.85303497,"1891",73,"P1","P",1,"Fe1","Fe",1,0,"R",202884.85303497
"65",65,"1892_P1-Fe2-74_Tige_X200_09µm_square.jpg","1892_P1_Fe2_74_T_X200_09µm",141691.412307468,"1892",74,"P1","P",1,"Fe2","Fe",2,0,"T",138328.328988873
"66",66,"1893_P1-Fe2-74_Racine_X200_09µm_square.jpg","1893_P1_Fe2_74_R_X200_09µm",124010.788249971,"1893",74,"P1","P",1,"Fe2","Fe",2,0,"R",124010.788249971
"67",67,"1894_P1-Fe3-75_Tige_X200_11µm_square.jpg","1894_P1_Fe3_75_T_X200_11µm",135299.829063206,"1894",75,"P1","P",1,"Fe3","Fe",3,0,"T",135299.829063206
"68",68,"1895_P1-Fe3-75_Racine_X200_09µm_square.jpg","1895_P1_Fe3_75_R_X200_09µm",107982.272369988,"1895",75,"P1","P",1,"Fe3","Fe",3,0,"R",107982.272369988
"69",69,"1896_P1-Ft2-77_Tige_X200_09µm_square.jpg","1896_P1_Ft2_77_T_X200_09µm",241364.407420051,"1896",77,"P1","P",1,"Ft2","Ft",2,0,"T",223077.864337556
"70",70,"1897_P1-Ft2-77_Racine_X200_09µm_square.jpg","1897_P1_Ft2_77_R_X200_09µm",241364.407420051,"1897",77,"P1","P",1,"Ft2","Ft",2,0,"R",216809.491017039
"71",71,"1898_P1-Ft3-78_Tige_X200_09µm_square.jpg","1898_P1_Ft3_78_T_X200_09µm",230094.532594954,"1898",78,"P1","P",1,"Ft3","Ft",3,0,"T",207389.681646941
"72",72,"1899_P1-Ft3-78_Racine_X200_09µm_square.jpg","1899_P1_Ft3_78_R_X200_09µm",318974.61218725,"1899",78,"P1","P",1,"Ft3","Ft",3,0,"R",301104.244847184
"73",73,"1900_P2-Fe3-81_Tige_X200_09µm_square.jpg","1900_P2_Fe3_81_T_X200_09µm",204885.782196599,"1900",81,"P2","P",2,"Fe3","Fe",3,0,"T",204885.782196599
"74",74,"1901_P2-Fe3-81_Racine_X200_09µm_square.jpg","1901_P2_Fe3_81_R_X200_09µm",236720.762293994,"1901",81,"P2","P",2,"Fe3","Fe",3,0,"R",236720.762293994
"75",75,"1902_P3-Fe2-86_Tige_X200_09µm_square.jpg","1902_P3_Fe2_86_T_X200_09µm",221465.730935302,"1902",86,"P3","P",3,"Fe2","Fe",2,0,"T",217531.227370358
"76",76,"1903_P3-Fe2-86_Racine_X200_09µm_square.jpg","1903_P3_Fe2_86_R_X200_09µm",381206.575672013,"1903",86,"P3","P",3,"Fe2","Fe",2,0,"R",356349.931855741
"77",77,"1904_P3-Ft1-88_Tige_X200_09µm_square.jpg","1904_P3_Ft1_88_T_X200_09µm",351335.561759123,"1904",88,"P3","P",3,"Ft1","Ft",1,0,"T",311222.791384836
"78",78,"1905_P3-Ft1-88_Racine_X200_09µm_square.jpg","1905_P3_Ft1_88_R_X200_09µm",294994.127828724,"1905",88,"P3","P",3,"Ft1","Ft",1,0,"R",288681.67273549
"79",79,"1906_P3-Ft2-89_Tige_X200_09µm_square.jpg","1906_P3_Ft2_89_T_X200_09µm",189377.485994653,"1906",89,"P3","P",3,"Ft2","Ft",2,0,"T",184848.289197764
"80",80,"1907_P3-Ft2-89_Racine_X200_09µm_square.jpg","1907_P3_Ft2_89_R_X200_09µm",236370.298510895,"1907",89,"P3","P",3,"Ft2","Ft",2,0,"R",224907.394805263
"81",81,"1909_T1-Ho1-1_Racine_X200_09µm_square.jpg","1909_T1_Ho1_01_R_X200_09µm",45712.7983084406,"1909",1,"T1","T",1,"Ho1","Ho",1,0,"R",44219.2202328126
"82",82,"1910_T1-Fe3-9_Tige_X200_09µm_square.jpg","1910_T1_Fe3_09_T_X200_09µm",307531.969669079,"1910",9,"T1","T",1,"Fe3","Fe",3,0,"T",300400.579282682
