Label,Area,Perim.
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,89.806344419,35.498205449
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,75.842553061,46.344274237
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,340.059389538,71.175964951
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,185.636285110,52.623380511
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,106.508134082,47.951237668
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,159.077701547,50.403381198
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,226.158660031,65.763822336
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,485.173299727,87.793284459
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,167.291696464,50.403381198
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,206.445072232,64.875075118
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,240.396251219,79.114624820
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,165.648897480,75.541589853
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,84.604147639,35.677759502
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,95.556140860,40.476866234
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,65.985759162,32.897314471
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,91.996743063,42.136419829
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,69.545156959,36.290795385
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,88.711145097,44.864274695
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,173.862892397,68.469893644
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.878761703,31.185170711
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,87.615945775,37.284722932
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,149.220907647,50.044273092
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.057362212,31.237760876
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,140.185513239,47.084274008
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,156.613503072,51.524272634
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.877947469,44.991238584
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,70.640356281,32.971688195
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,88.437345266,43.384275153
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,69.545156959,38.891686363
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,96.651340183,60.404269886
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,76.390152722,48.257755609
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,79.675750689,39.198204304
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,78.306751536,39.198204304
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.556955095,38.637758586
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,132.245318154,48.691237439
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,71.187955942,39.938204075
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,75.568753231,36.365169108
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,178.243689685,56.936415249
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,67.080958484,36.238205220
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,104.317735438,49.917309204
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,100.484537810,44.251238813
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.556955095,40.805167734
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,135.530916120,51.090790805
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,106.234334252,49.917309204
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,110.615131541,43.077757212
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,65.164359670,35.318651396
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,60.235962720,40.244722016
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.877947469,47.951237668
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,85.973146791,36.851241103
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,111.984130693,51.883380740
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,81.866149333,44.251238813
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,193.576480196,58.311234462
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,85.973146791,42.083829664
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.604147639,44.251238813
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,67.902357975,45.297756525
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,68.723757467,38.458204533
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,129.233520018,45.170792637
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,13449.869075903,918.889855997
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,84.604147639,42.031239500
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,100.758337641,45.731238355
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,122.936123915,50.403381198
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,119.102926287,69.389447468
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,102.674936455,46.269900513
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,60.783562381,33.764278130
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,109.519932218,50.963826916
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.878761703,33.584724077
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,93.365742216,59.664270115
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.283155264,35.625169337
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,110.341331710,42.644275382
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,68.723757467,36.058651167
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,82.961348655,38.891686363
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,96.377540352,45.297756525
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,130.328719340,46.471238126
