"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","aire_conic","tig_ratio","rac_ratio","surface","inflo","image_surface_µm2_Tige","image_surface_rectified_µm2.x_Tige","mean_vessel_size_µm2_Tige","std_dev_vessel_size_µm2_Tige","mean_vessel_perim_µm_Tige","std_dev_perim_µm_Tige","sum_vessel_area_µm2_Tige","count_vessel_Tige","count_cluster_Tige","vessel_grouping_Tige","dh_Tige","image_surface_rectified_mm2_Tige","vessel_density_per_mm2_Tige","vessel_density_per_m2_Tige","dh_m_Tige","vessel_area_Tige","Kth_Tige","image_surface_µm2_Racine","image_surface_rectified_µm2.x_Racine","mean_vessel_size_µm2_Racine","std_dev_vessel_size_µm2_Racine","mean_vessel_perim_µm_Racine","std_dev_perim_µm_Racine","sum_vessel_area_µm2_Racine","count_vessel_Racine","count_cluster_Racine","vessel_grouping_Racine","dh_Racine","image_surface_rectified_mm2_Racine","vessel_density_per_mm2_Racine","vessel_density_per_m2_Racine","dh_m_Racine","vessel_area_Racine","Kth_Racine"
"11",11,"t1","T",1,"Fe2","Fe",2,1,7.61,5.43,7.02,4.8,22,245,275,260,145,145,43,2,0,1,5,0,NA,154.44,0.71353482260184,0.683760683760684,39875,0.5,210107.418764939,210107.418764939,189.201158903773,100.454515985625,59.5805857064067,20.1139969474116,28380.173835566,150,102,1.47058823529412,16.5090087183357,0.210107418764939,713.920531134671,713920531.134671,1.65090087183357e-05,0.135074591855877,1.29665251359274,621812.557561452,621812.557561452,238.526676199042,141.446589640042,66.174385497241,24.6270309169614,86108.130107854,361,256,1.41015625,18.7871694718573,0.621812557561452,580.560806645214,580560806.645214,1.87871694718573e-05,0.138479239540517,1.76840963524563
"12",12,"t1","T",1,"Fe3","Fe",3,1,4.12,2.18,3.35,1.4,27,279,350,315,257,227,35,6,0,6,2,0,6,90.45,0.529126213592233,0.417910447761194,79450,1,496784.876740833,472852.307352652,159.247003809207,81.9617233129117,51.0848421196568,16.0999871643239,53825.487287512,338,233,1.45064377682403,15.0986225288331,0.472852307352652,714.810935136075,714810935.136075,1.50986225288331e-05,0.113831499710477,0.908301948113984,444612.866629986,421515.11292514,215.725116678274,118.110686160381,59.8179398607338,18.8492889417521,56735.705686386,263,202,1.3019801980198,17.6919679931449,0.42151511292514,623.939668912199,623939668.912199,1.76919679931449e-05,0.134599457876288,1.49464111650523
"13",13,"T1","T",1,"Ft1","Ft",1,0,8.24,3.87,8.33,3.54,27,187,177,187,124,NA,53,3,0,3,3,1,4,224.91,0.469660194174757,0.424969987995198,NA,1,73521.0042979975,73521.0042979975,222.593039510364,164.689805329473,84.8466671334091,40.3050978332296,9794.093738456,44,29,1.51724137931034,18.7385304159225,0.0735210042979975,598.468429806235,598468429.806235,1.87385304159224e-05,0.133214906841565,1.80415191913804,180528.275471411,146397.209995059,405.530285974663,243.605376216823,89.709678557163,35.4730488279944,37308.786309669,92,53,1.73584905660377,24.5248248038774,0.146397209995059,628.427276743218,628427276.743218,2.45248248038774e-05,0.254846293251956,5.55863847048281
"14",14,"T1","T",1,"Ft2","Ft",2,0,12.53,4.09,11.26,2.37,17,177,135,177,104,110,15,5,0,4,4,0,7,191.42,0.326416600159617,0.210479573712256,14850,0.8,200106.058554761,185344.414490713,148.040145878188,81.1406266642597,49.3696415827321,16.3122998711932,16580.496338357,112,82,1.36585365853659,14.6534842324756,0.185344414490713,604.280416584186,604280416.584186,1.46534842324756e-05,0.0894577610224547,0.681227030981568,384799.377048435,313165.40118256,218.001106307597,101.63519641193,60.7534008921009,17.4155765951084,49704.252238132,228,140,1.62857142857143,17.4966021423533,0.31316540118256,728.049775419115,728049775.419115,1.74966021423533e-05,0.158715656488364,1.66826748397788
"15",15,"T1","T",1,"Ft1","Ft",1,0,8.24,4.47,6.64,3.68,32,66,146,66,203,180,32,2,0,2,1,0,6,212.48,0.54247572815534,0.55421686746988,26280,1,212446.764517122,212446.764517122,128.470471309546,58.6402053010458,46.6913941626011,14.1373714804937,23510.096249647,183,127,1.44094488188976,13.406091000464,0.212446764517122,861.392266509435,861392266.509435,1.3406091000464e-05,0.110663470460866,0.680298271742251,308803.496082134,268048.665105218,199.274769738574,100.879878225999,53.5781169169257,15.2017460125371,40253.503487192,202,118,1.71186440677966,16.8594190192379,0.268048665105218,753.594500911647,753594500.911647,1.68594190192379e-05,0.150172370645424,1.48866811393465
"16",16,"t1","T",1,"Ft1","Ft",1,1,13.39,3.18,10.72,7.87,15.57,135,153,205,27,NA,24,8,0,5,2,1,8,166.9104,0.237490664675131,0.734141791044776,NA,0.625,566798.505209539,556456.811809992,144.708798195107,73.219053659718,50.2462585958316,15.4067302309241,56725.848892482,392,277,1.41516245487365,14.3679366519105,0.556456811809992,704.457186398596,704457186.398596,1.43679366519105e-05,0.101941152823647,0.734043790220182,214904.391796102,214904.391796102,210.799542613468,134.214726252286,61.1679851909167,25.4894690381955,32884.728647701,156,108,1.44444444444444,17.829423387469,0.214904391796102,725.904197193003,725904197.193003,1.7829423387469e-05,0.153020272749482,1.79356965241229
"17",17,"t1","T",1,"Ft2","Ft",2,1,7.57,6.61,5.37,3.46,33,203,208,203,116,198,66,2,0,2,3,0,6,177.21,0.873183619550859,0.644320297951583,41184,1,312302.65791651,249402.896645046,131.788355677876,51.3762221872839,45.1203697720759,10.3308759049188,19109.311573292,145,84,1.72619047619048,13.4170009836966,0.249402896645046,581.388596325592,581388596.325592,1.34170009836966e-05,0.0766202471196181,0.460657411114184,144808.623378233,129569.472409713,133.4525264974,81.9690634540286,46.3433461999455,18.9850775713914,14679.777914714,110,69,1.59420289855072,14.1124402770837,0.129569472409713,848.965407933188,848965407.933188,1.41124402770837e-05,0.11329657859758,0.823357052743001
"18",18,"t1","T",1,"Ft3","Ft",3,1,8.62,6.13,6.75,4.44,18.6,125,162,175,61,128,29,5,0,3,3,0,6,125.55,0.711136890951276,0.657777777777778,20736,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170745.95512567,157178.352122632,168.57527006908,71.1312831113195,51.857206319376,13.0247743269214,21071.908758635,125,85,1.47058823529412,15.258479152838,0.157178352122632,795.27491102893,795274911.02893,1.5258479152838e-05,0.134063682905865,1.05402769778682
"19",19,"T1","T",1,"Ho3","Ho",3,0,6.39,2.85,5.23,3.38,21,95,156,178,18,44,8,5,0,5,2,0,6,109.83,0.446009389671362,0.646271510516252,6864,1,660957.171734928,660957.171734928,165.353746286739,79.4179583895908,53.2986075685749,13.9090697596503,108141.350071527,654,363,1.80165289256198,15.281543242102,0.660957171734928,989.474096004335,989474096.004335,1.5281543242102e-05,0.163613248628001,1.31935915465841,701996.480735782,688182.731685084,169.617764462113,92.7862688947411,58.4862662867337,20.5116235576975,150959.810371281,890,319,2.78996865203762,15.6886388365381,0.688182731685084,1293.26116309363,1293261163.09363,1.56886388365381e-05,0.219360067349613,1.91565388311865
"20",20,"T2","T",2,"Ho2","Ho",2,0,7.16,3.04,5.7,2.28,10,115,147,177,17,NA,19,17,6,2,2,1,8,57,0.424581005586592,0.4,NA,0.117647058823529,1379951.145951,1256748.88860063,174.859804600127,106.440704275256,67.4649258221381,32.8135951466336,300059.424693818,1716,496,3.45967741935484,16.1438049726184,1.25674888860063,1365.42790335048,1365427903.35048,1.61438049726184e-05,0.238758456375425,2.26768188200918,941067.266975351,899299.650425245,132.895327441265,54.0356247517479,46.4353134002393,10.2740534401976,137147.977919385,1032,556,1.85611510791367,13.5147133687226,0.899299650425245,1147.55965879894,1147559658.79894,1.35147133687226e-05,0.152505316614471,0.936035622189276
